opis;filename
"PRZYSTOSOWANIE OBIEKTÓW, POMIESZCZEŃ ORAZ STANOWISK PRACY DLA OSÓB NIEPEŁNOSPRAWNYCH O SPECYFICZNYCH POTRZEBACH – DOBRE PRAKTYKI; PFRON, CIOP PIB; Warszawa 2014";Dobre_praktyki-wersja_finalna2014.pdf
"LISTA KONTROLNA DO OCENY ŚRODOWISKA PRACY POD KĄTEM DOSTOSOWANIA DO POTRZEB OSÓB NIEPEŁNOSPRAWNYCH; PFRON, CIOP PIB; Warszawa 2014";ListaKontrolna2014.pdf
"PROJEKTOWANIE OBIEKTÓW, POMIESZCZEŃ ORAZ PRZYSTOSOWANIE STANOWISK PRACY DLA OSÓB NIEPEŁNOSPRAWNYCH O SPECYFICZNYCH POTRZEBACH – RAMOWE WYTYCZNE; PFRON, CIOP PIB; Warszawa 2014";Ramowe_wytyczne2014.pdf
"Kotowska L.; Prawo pracy. Pracownik niepełnosprawny; Państwowa Inspekcja Pracy; wydanie 2/2024, stan prawny marzec 2024";Wydawnictwo PIP - Niepelnosprawny pracownik.pdf
"Gosk D., Olkowska A., Daniłowska S., Komunikacja bez barier, Praktyczny poradnik kontaktu z osobami z niepełnosprawnościami; Fundacja Aktywizacja; Warszawa 2021";Fundacja-Aktywizacja-Publikacja-Komunikacja-bez-barier.pdf
"Raport systemowy. Podsumowanie przeglądu procedur w 30 urzędach oraz rekomendacje systemowe dla całej administracji w zakresie zatrudniania osób ze szczególnymi potrzebami; Kancelaria Prezesa Rady Ministrów";Raport_systemowy_-_podumowanie_przeglądu_procedur_zatrudnieniowych_Procedury_bez_barier.pdf
"Kompendium wiedzy na temat zatrudnienia osób ze szczególnymi potrzebami; Kancelaria Prezesa rady Ministrów";PBB_HR_Podręcznik_Kompendium_wiedzy_na_temat_zatrudnienia_osób_ze_szczególnymi_potrzebami.pdf
"Daniłowska S., Gawska A., Kowalski P., Paszkowska M., Sielecka K., Tatko A., Dobre praktyki w zatrudnianiu osób z niepełnosprawnościami. Fundacja Aktywizacja, Warszawa 2022";podrecznik-online.pdf
"Gawska A., Poradnik dla pracodawców, o tym jak tworzyć dostępne miejsce pracy. Fundacja Aktywizacja, Warszawa 2024";Fundacja-Aktywizacja_Poradnik-dla-pracodawcow-o-tym-jak-tworzyc-dostepne-miejsce-pracy.pdf
"Gruszczyńska A., Gruntowski M,. 5 kroków do zatrudnienia – Osoby z niepełnosprawnością w procesie rekrutacji. Fundacja Aktywizacja, Warszawa 2024";5-krokow-do-zatrudnienia-online.pdf
"Gruszczyńska A., Gruntowski M., Osoba z niepełnosprawnością w Twojej firmie, Fundacja Aktywizacja, Warszawa 2024";Niezbednik-pracodawcy-online.pdf
"Gawska A. Pracodawca włączający – jak skutecznie zatrudniać osoby z niepełnosprawnościami?, Warszawa 2025";artykuł ze strony koREKtora